職位,公司,薪資,上班時段,工作地點,刊登日期,連結
【高雄學生實習Internship】 (2023年度在校生) 工程部門實習生,富台工程股份有限公司,時薪183~190元,日班，8:00-17:00,高雄市三民區,5/06更新,https://www.104.com.tw/job/80sa0
企業實習生-學生實習,宏得國際企業有限公司,時薪183元以上,日班/假日班，09:00-18:00，需輪班,台中市龍井區,4/14更新,https://www.104.com.tw/job/6v2tt
【長期實習】市場研究實習生,德商GfK_捷孚凱行銷研究顧問有限公司,時薪183元,日班，09:00-18:00 (可根據自己的課表彈性在區間內安排上班),新北市汐止區,4/30更新,https://www.104.com.tw/job/3oo3w
25 資訊實習生,新代科技股份有限公司,時薪210~265元,日班，08:30~17:30,新竹市,5/03更新,https://www.104.com.tw/job/6zveq
大四實習生(實習期間：暑期113/07/01-學期114/06/30),聯聚建設股份有限公司,"月薪33,000元",日班，08:00-17:30,台中市西屯區,4/30更新,https://www.104.com.tw/job/7qw64
【一年期實習】2024 Internship Program - Operation Intern,美商億業有限公司台灣分公司,時薪200元,日班，09:00~17:30,台南市中西區,5/06更新,https://www.104.com.tw/job/8bcsj
實習生(暑假實習生/寒假實習生/學期實習生/學年實習生/學生實習),尚進教育訓練有限公司,"論件計酬2,000~3,600元",日班，09:00-18:00,台中市西屯區,5/06更新,https://www.104.com.tw/job/79ney
40 翻譯實習生,新代科技股份有限公司,時薪190~210元,日班，可配合課表彈性安排,新竹市,4/30更新,https://www.104.com.tw/job/888hc
人資實習生,昇陽國際半導體股份有限公司,"月薪27,470元以上",日班，08:30~17:30,新竹市,4/24更新,https://www.104.com.tw/job/7mzk2
【學生實習專案】2024實習生Intern招募 –資訊實習工程師(南科),晶元光電股份有限公司(晶電),時薪190元以上,日班，08:00~17:00,台南市新市區,5/03更新,https://www.104.com.tw/job/895q7
【2024 下半年實習生】策略規劃 Corporate Development Intern,曙客股份有限公司,時薪185元,日班，10:00 - 19:00,台北市中山區,5/03更新,https://www.104.com.tw/job/8bj33
【2024 下半年實習生】人資實習生 / HR Intern,曙客股份有限公司,時薪185元,日班，彈性排班,台北市中山區,4/29更新,https://www.104.com.tw/job/7ugid
長期實習生（FINTECH相關）,仁維軟體科技有限公司,"日薪1,520元",日班，面試詳談,台北市中山區,4/26更新,https://www.104.com.tw/job/6xs0r
大學以上在學專案企業實習生（學期16週）,新光人壽保險股份有限公司_民權通訊處(蔡彥志)(核准編號: E-AC-112-005),"論件計酬5,000元",日班，早上10點-12點 午休到1點半 下午1點半-4點半,台中市西區,5/01更新,https://www.104.com.tw/job/7xf26
【學生實習專案】2024實習生Intern招募 –系統實習工程師(竹科),晶元光電股份有限公司(晶電),時薪190元以上,日班，08:00~17:00,新竹市,5/03更新,https://www.104.com.tw/job/89jmb
全能長期實習生,長宏專案管理顧問有限公司,時薪186~220元,日班/假日班，可依修課狀況調整上班時段,高雄市鼓山區,4/25更新,https://www.104.com.tw/job/7rmig
※學習型※ Web3 - Backend 軟體研發實習工程師【無給薪實習（Unpaid Internship）】,奇策智能雲端股份有限公司,論件計酬0元,日班/晚班/大夜班/假日班，彈性配合,台北市中正區,5/07更新,https://www.104.com.tw/job/887bz
軟體實習生Software Intern (暑期實習),見臻科技股份有限公司,"月薪28,000~55,000元",日班，09:00-18:00,新北市新店區,5/03更新,https://www.104.com.tw/job/8big5
創意實習生Creative Intern (暑期實習),見臻科技股份有限公司,"月薪28,000~55,000元",日班，09:00-18:00,新北市新店區,5/03更新,https://www.104.com.tw/job/8bieg
商務開發實習生,WeddingDay_宇宙方塊股份有限公司,時薪183~200元,日班，11:00~18:00,台北市中山區,5/03更新,https://www.104.com.tw/job/8aqyh
光穹遊戲 - 執行長助理實習生,光穹遊戲股份有限公司,時薪190~250元,日班，依公司規定,台北市文山區,4/23更新,https://www.104.com.tw/job/88zjq
【設計實習生】 #一年制 #設計實習 #學生實習,逗寶國際有限公司,時薪190元,日班，每週到班至少三次，可依課表彈性排班,台北市大安區,3/29更新,https://www.104.com.tw/job/8931w
稅務部-會計薪資委外-實習生,勤業眾信聯合會計師事務所,時薪190元,日班，08:30~17:30,台北市信義區,5/03更新,https://www.104.com.tw/job/7hmrz
【一年期實習】2024 Internship Programme - Marketing intern,施羅德證券投資信託股份有限公司,時薪210元,"日班，9:00-1800,每周2.5天",台北市信義區,5/02更新,https://www.104.com.tw/job/8awkc
(實習生) 文字編輯實習生,印花樂美感生活股份有限公司,時薪183元,日班，10:00-19:00，排班制,台北市大同區,5/02更新,https://www.104.com.tw/job/89qph
【WinTern領航計畫】暑期實習-系統整合與製程監控實習生(高雄),華邦電子股份有限公司,"月薪35,000~50,000元",日班，08:40-17:40,高雄市路竹區,4/22更新,https://www.104.com.tw/job/8a5xf
【學年實習】設備工程師-湖口/新埔廠(2024/7月起),力成科技股份有限公司,"月薪37,000元以上",日班，07:20~19:30，需輪班,新竹縣新豐鄉,4/16更新,https://www.104.com.tw/job/8awop
電商產品實習生 Consumer Products Intern,悠雅科技有限公司,時薪185元,日班，10:00-19:00,台北市中山區,4/24更新,https://www.104.com.tw/job/7ssca
光穹遊戲《閃動格子》 - 遊戲營運實習生,光穹遊戲股份有限公司,時薪190~225元,日班/晚班/假日班，需要彈性安排工作時間，包括週末和節假日。，需輪班,台北市中山區,4/16更新,https://www.104.com.tw/job/87nk1
UIUX設計師 實習,未來巢科技股份有限公司,時薪183元以上,日班，依公司規定,台北市信義區,4/30更新,https://www.104.com.tw/job/83wqm
